"District wise data on the number of daily infections obtained from https://www.covid19india.org/ on March 15, 2021 and sorted by decreasing number of active cases",,,,,,,
Accessibility code for the districts is as added as per our definition in the manuscript. It is noted only for districts where the active case burden is at least 500 cases.,,,,,,,
State_Code,State,District,Confirmed,Active,Recovered,Deceased,Accessibility Code
MH,Maharashtra,Pune,439562,25673,405696,8144,3
MH,Maharashtra,Nagpur,173547,16964,152959,3584,3
MH,Maharashtra,Mumbai,343962,12535,318995,11535,1
MH,Maharashtra,Thane,293052,12332,274816,5873,6
MH,Maharashtra,Nashik,137949,7688,128167,2093,5
MH,Maharashtra,Aurangabad,59429,7148,50978,1289,3
KA,Karnataka,Bengaluru Urban,411439,6107,400812,4519,1
MH,Maharashtra,Jalgaon,69604,4944,63098,1542,5
MH,Maharashtra,Amravati,43318,3997,38752,567,7
KL,Kerala,Ernakulam,126931,3799,122672,434,1
MH,Maharashtra,Akola,20302,3783,16111,404,7
MH,Maharashtra,Buldhana,20865,2985,17605,270,7
MH,Maharashtra,Nanded,26170,2763,22710,692,5
KL,Kerala,Pathanamthitta,58669,2700,55843,118,7
MH,Maharashtra,Yavatmal,21989,2613,18875,497,8
KL,Kerala,Kannur,55872,2597,52948,296,2
KL,Kerala,Kozhikode,124128,2469,121157,475,2
KL,Kerala,Thrissur,101538,2456,98595,470,6
MH,Maharashtra,Ahmednagar,79880,2328,76380,1171,4
KL,Kerala,Palakkad,60512,2175,58150,177,6
KL,Kerala,Kottayam,81816,2159,79445,203,7
KL,Kerala,Kasaragod,30563,2078,28374,103,7
TN,Tamil Nadu,Chennai,238820,1982,232663,4175,1
GA,Goa,South Goa,3511,1978,1407,126,3
KL,Kerala,Malappuram,120644,1736,118459,431,7
MH,Maharashtra,Satara,60722,1735,57120,1858,7
MH,Maharashtra,Beed,20796,1700,18513,577,8
KL,Kerala,Idukki,28109,1641,26425,38,8
GA,Goa,North Goa,2668,1639,964,65,3
MH,Maharashtra,Dhule,18870,1629,16902,337,8
MP,Madhya Pradesh,Indore,62152,1629,59581,942,3
PB,Punjab,Jalandhar,23711,1607,21336,768,5
MH,Maharashtra,Raigad,72974,1598,69761,1613,6
KL,Kerala,Thiruvananthapuram,104687,1550,102192,854,2
MH,Maharashtra,Wardha,16143,1529,14254,325,7
KL,Kerala,Alappuzha,80338,1499,78427,386,7
DL,Delhi,Unknown,642908,1475,630493,10940,1
MH,Maharashtra,Solapur,59754,1466,56379,1859,7
KL,Kerala,Kollam,89777,1442,87989,323,6
PB,Punjab,S.A.S. Nagar,21867,1364,20101,402,8
WB,West Bengal,Kolkata,130495,1265,126123,3107,2
GJ,Gujarat,Surat,55829,1187,53664,978,3
PB,Punjab,Shahid Bhagat Singh Nagar,5708,1182,4392,134,7
PB,Punjab,Patiala,18596,1180,16882,534,7
KL,Kerala,Wayanad,27687,1173,26421,89,8
CT,Chhattisgarh,Raipur,57141,1138,55186,817,4
PB,Punjab,Hoshiarpur,10570,1089,9076,405,8
CH,Chandigarh,Chandigarh,23023,1078,21589,356,3
MH,Maharashtra,Chandrapur,25987,1078,24485,422,6
PB,Punjab,Ludhiana,28833,1077,26706,1050,5
MH,Maharashtra,Palghar,49872,1071,47852,939,7
MH,Maharashtra,Parbhani,9332,1065,7943,313,7
MH,Maharashtra,Nandurbar,11448,1061,10157,229,7
MH,Maharashtra,Washim,11352,1060,10120,169,7
CT,Chhattisgarh,Durg,28862,995,27215,652,6
MH,Maharashtra,Latur,26927,962,25245,716,8
WB,West Bengal,North 24 Parganas,123987,902,120566,2519,8
PB,Punjab,Amritsar,16861,891,15351,619,3
MP,Madhya Pradesh,Bhopal,45336,882,43833,621,4
GJ,Gujarat,Ahmedabad,64636,850,61463,2323,2
PB,Punjab,Kapurthala,6838,813,5807,218,8
MH,Maharashtra,Hingoli,5342,745,4497,100,8
MH,Maharashtra,Sangli,51829,733,49294,1800,7
GJ,Gujarat,Vadodara,31288,694,30353,241,3
HR,Haryana,Karnal,12268,651,11459,158,7
MH,Maharashtra,Bhandara,14604,577,13711,315,7
HR,Haryana,Gurugram,59849,570,58920,359,1
SK,Sikkim,East Sikkim,1670,561,1106,3,8
MH,Maharashtra,Jalna,16713,529,15789,394,7
MH,Maharashtra,Osmanabad,18533,528,17413,576,7
PB,Punjab,Gurdaspur,9103,516,8295,292,8
RJ,Rajasthan,Jaipur,59992,481,58992,519,
AP,Andhra Pradesh,Chittoor,88070,479,86734,857,
SK,Sikkim,South Sikkim,517,444,73,0,
JK,Jammu and Kashmir,Srinagar,27571,422,26685,464,
MH,Maharashtra,Kolhapur,50144,401,48056,1684,
TN,Tamil Nadu,Chengalpattu,53585,397,52394,794,
TN,Tamil Nadu,Coimbatore,56468,396,55387,685,
HR,Haryana,Kurukshetra,9645,396,9113,136,
HR,Haryana,Panchkula,11332,355,10828,149,
JH,Jharkhand,Ranchi,33571,329,32993,249,
RJ,Rajasthan,Dungarpur,5386,299,5053,34,
KA,Karnataka,Kalaburagi,22381,293,21757,331,
HR,Haryana,Ambala,12449,290,12011,148,
TN,Tamil Nadu,Thiruvallur,44645,284,43660,701,
