State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Yavatmal,3089185,58.20408163,0.428571429,0.068989493,0,-0.001717197,0.495,-0.024890704
Karnataka,Yadgir,1412778,0,0,0,0,0,0.49,0
Andhra_Pradesh,Y.S.R._Kadapa,3160870,48.73469388,0.714285714,0.057420614,0.000229288,0.014844361,0.325,0.258519726
Tripura,West_Tripura,1919859,0,0,0,0,0,0.495,0
Andhra_Pradesh,West_Godavari,4061068,31.28571429,0.285714286,0.024527774,0.000479948,-0.00693368,0.495,-0.282686871
Bihar,West_Champaran,4958749,14.12244898,2,0.107089346,0.000661011,0.179658225,0.495,1.677647979
Andhra_Pradesh,Vizianagaram,2433613,4.485714286,0,0.05048105,0.002488176,0.145918993,0.465,2.890569695
Andhra_Pradesh,Visakhapatnam,4749686,36.83673469,1.714285714,0.100313718,0.00070035,0.141896313,0.495,1.414525512
Tamil_Nadu,Virudhunagar,2131921,9.469387755,1.571428571,0.098913574,0.000348518,0.194103473,0.355,1.962354255
Tamil_Nadu,Viluppuram,3978908,227.8571429,0,0.056196174,0.001700859,-0.013241597,0.3,-0.235631653
Karnataka,Vijayapura,2575205,15.63265306,0.714285714,0.162588334,0.002559054,0.124193887,0.495,0.763854842
Tamil_Nadu,Vellore,4401028,13.6122449,0.285714286,0.054959542,0.000321682,0.065636687,0.435,1.194272807
Uttar_Pradesh,Varanasi,4239659,46.24489796,2,0.065757866,0.003247302,0.001636281,0.165,0.024883424
Bihar,Vaishali,4381971,1.693877551,1,0.090172795,0.000892418,0.280485142,0.495,3.110529541
Gujarat,Vadodara,4701190,216.6734694,20.28571429,0.065135883,0.000623484,0.08051188,0.495,1.236060313
Karnataka,Uttara_Kannada,1516739,23.3877551,0.428571429,0.054151421,0.001459267,0.271909119,0.495,5.021273977
Karnataka,Udupi,1239220,0.673469388,1,0.090357234,0.000194597,0.24809064,0.495,2.745664388
Uttarakhand,Udham_Singh_Nagar,2137842,8.795918367,1,0.081070982,0.00049806,0.200222839,0.495,2.469722622
Karnataka,Tumakuru,2766758,6.367346939,0,0.049117959,0.004894509,0.086802766,0.145,1.767230705
Tamil_Nadu,Tiruvannamalai,2746014,84.97959184,9.571428571,0.044602316,0.000697303,0.174602235,0.08,3.914645028
Tamil_Nadu,Tirunelveli,3457579,36.14285714,14.57142857,0.071997511,0.000791332,0.290950709,0.495,4.041121747
Tamil_Nadu,Tiruchirappalli,3028346,11.51020408,0.571428571,0.100449084,0.00113492,0.066674865,0.495,0.66376778
Assam,Tinsukia,1511412,0,0,0,0,0,0.495,0
Tamil_Nadu,Thoothukkudi,1905099,8,5.571428571,0.100495819,0.000523427,0.409485751,0.32,4.074654611
Tamil_Nadu,Thiruvallur,1356153,316.0612245,28.28571429,0.057625001,0.001186532,0.19154703,0.11,3.324026519
Kerala,Thiruva0thapuram,3362979,0,0,0.066951586,0.002232084,0.066951586,0.365,1
Tamil_Nadu,Theni,1400617,20.59183673,2.714285714,0.04936834,0.000891977,0.22133453,0.495,4.483329395
Tamil_Nadu,Thanjavur,2590519,16.85714286,1.571428571,0.070637358,0.000474384,0.062291127,0.105,0.881843958
Maharashtra,Thane,14587316,2126.673469,238.1428571,0.042882924,0.002347342,0.123082194,0.36,2.870191257
Gujarat,Surat,8350343,366.3061224,28.42857143,0.097562227,0.003864807,0.067151655,0.135,0.688295638
Odisha,Sundargarh,2362022,8.510204082,2,0.129312943,0.001491871,0.219794944,0.13,1.69971341
Andhra_Pradesh,Srikakulam,2861294,4.204081633,1.285714286,0.047130824,0.004629346,0.012464906,0.445,0.264474593
West_Bengal,South_24_Parganas,9485640,46.53061224,4.142857143,0.056725584,0.003767767,0.1073806,0.42,1.892983614
Haryana,Sonipat,1623165,83.26530612,4.857142857,0.058489331,0.001590593,0.025921748,0.21,0.443187637
Maharashtra,Solapur,4787647,210.0204082,17.57142857,0.063653048,0.008629144,0.141491027,0.09,2.22284763
Bihar,Siwan,4003684,5.734693878,1.714285714,0.084099586,0.000585004,0.094163803,0.495,1.119670233
Tamil_Nadu,Sivaganga,1529329,0.836734694,2,0.087520114,0.003816298,0.655674872,0.085,7.491704986
Karnataka,Shivamogga,1858248,9.142857143,0,0.054436075,0.00251302,0.144228863,0.41,2.64950888
