State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Yavatmal,3089185,25.40816327,2.142857143,0.068989493,0.002147043,0.128742337,0.495,1.866115151
Karnataka,Yadgir,1412778,137.1836735,22.85714286,0.026853012,3.01E-05,0.267955432,0.49,9.978598886
Andhra_Pradesh,Y.S.R._Kadapa,3160870,22.40816327,1.714285714,0.057420614,0.000229288,-0.078122437,0.325,-1.360529451
Tripura,West_Tripura,1919859,7.714285714,2.428571429,0.066358532,0.001512024,0.273790918,0.495,4.125933932
Andhra_Pradesh,West_Godavari,4061068,24.85714286,4.571428571,0.024527774,0.000479948,0.083282318,0.495,3.395429095
Bihar,West_Champaran,4958749,24,0.428571429,0.107089346,0.000661011,0.09988173,0.495,0.932695308
Andhra_Pradesh,Vizianagaram,2433613,14.73469388,1.428571429,0.05048105,0.002488176,0.102525241,0.465,2.030964913
Andhra_Pradesh,Visakhapatnam,4749686,32.57142857,3.428571429,0.100313718,0.00070035,0.093263287,0.495,0.929716187
Tamil_Nadu,Virudhunagar,2131921,66.85714286,0,0.098913574,0.000348518,0.142638481,0.355,1.442051633
Tamil_Nadu,Viluppuram,3978908,30.53061224,6.857142857,0.109962076,0.001700859,0.168507535,0.3,1.532414996
Karnataka,Vijayapura,2575205,27.93877551,7.571428571,0.162588334,0.002559054,0.242566715,0.495,1.49190725
Tamil_Nadu,Vellore,4401028,7.897959184,1.142857143,0.054959542,0.000321682,0.070586592,0.435,1.284337335
Uttar_Pradesh,Varanasi,4239659,70.44897959,4.857142857,0.065757866,0.003247302,0.102726966,0.165,1.562200424
Bihar,Vaishali,4381971,44.79591837,1.571428571,0.090172795,0.000892418,0.201212964,0.495,2.231415412
Gujarat,Vadodara,4701190,332.4285714,31.42857143,0.065135883,0.000623484,0.1172883,0.495,1.800671071
Karnataka,Uttara_Kannada,1516739,39.71428571,2,0.054151421,0.001459267,0.042437384,0.495,0.783679974
Karnataka,Udupi,1239220,105.6326531,21.71428571,0.090357234,0.000194597,0.323307562,0.495,3.578103789
Uttarakhand,Udham_Singh_Nagar,2137842,38.73469388,4.857142857,0.081070982,0.00049806,0.134881411,0.495,1.663744627
Karnataka,Tumakuru,2766758,19.36734694,0.285714286,0.049117959,0.004894509,0.101169081,0.145,2.059716696
Tamil_Nadu,Tiruvannamalai,2746014,165.8163265,28.28571429,0.044602316,0.000697303,0.140732789,0.08,3.155279852
Tamil_Nadu,Tirunelveli,3457579,174.2040816,8.857142857,0.071997511,0.000791332,0.057558077,0.495,0.799445374
Tamil_Nadu,Tiruchirappalli,3028346,9.816326531,2,0.100449084,0.00113492,0.228303442,0.495,2.272827525
Assam,Tinsukia,1511412,13.17142857,0,0.063282432,0.000667502,0.400961838,0.495,6.336068735
Tamil_Nadu,Thoothukkudi,1905099,110.5918367,7.285714286,0.100495819,0.000523427,0.124197115,0.32,1.23584361
Tamil_Nadu,Thiruvallur,1356153,375.4081633,30.28571429,0.057625001,0.001186532,0.039327212,0.11,0.682467882
Kerala,Thiruva0thapuram,3362979,24.24489796,3.142857143,0.066951586,0.002232084,0.266037709,0.365,3.973583369
Tamil_Nadu,Theni,1400617,38.81632653,0.142857143,0.04936834,0.000891977,-0.062501964,0.495,-1.266033337
Tamil_Nadu,Thanjavur,2590519,14.69387755,1.285714286,0.070637358,0.000474384,0.07748696,0.105,1.096968556
Maharashtra,Thane,14587316,5161.346939,426.1428571,0.042882924,0.002347342,0.083744877,0.36,1.952872342
Gujarat,Surat,8350343,376.3673469,44,0.097562227,0.003864807,0.112733734,0.135,1.155505953
Odisha,Sundargarh,2362022,12.3877551,2.857142857,0.129312943,0.001491871,0.177156433,0.13,1.369982221
Andhra_Pradesh,Srikakulam,2861294,11.79591837,1,0.047130824,0.004629346,0.075351016,0.445,1.598762955
West_Bengal,South_24_Parganas,9485640,84.48979592,9.714285714,0.056725584,0.003767767,0.1073806,0.42,1.892983614
Haryana,Sonipat,1623165,44.36734694,7,0.085769356,0.001590593,0.166168516,0.21,1.937387946
Maharashtra,Solapur,4787647,352.6734694,44.28571429,0.063653048,0.008629144,0.10773172,0.09,1.692483291
