State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Yavatmal,3089185,81.91836735,5.857142857,0.068989493,0.003757326,0.084766309,0.495,1.228684339
Karnataka,Yadgir,1412778,247.8571429,6,0.081730096,3.01E-05,-0.040015241,0.49,-0.489602275
Andhra_Pradesh,Y.S.R._Kadapa,3160870,354.6734694,74.57142857,0.057420614,0.000229288,0.159929626,0.325,2.785230162
Tripura,West_Tripura,1919859,66.53061224,1.857142857,0.066358532,0.001512024,0.064401445,0.495,0.970507387
Andhra_Pradesh,West_Godavari,4061068,592.4285714,49.57142857,0.024527774,0.000479948,0.107569249,0.495,4.385609899
Bihar,West_Champaran,4958749,33.69387755,11,0.107089346,0.000661011,0.187128594,0.495,1.747406269
Andhra_Pradesh,Vizianagaram,2433613,74.53061224,9.571428571,0.05048105,0.002488176,0.134548334,0.465,2.665323608
Andhra_Pradesh,Visakhapatnam,4749686,195.7959184,28,0.100313718,0.00070035,0.184767252,0.495,1.841894166
Tamil_Nadu,Virudhunagar,2131921,135.1836735,37.57142857,0.098913574,0.001476535,0.243808189,0.355,2.464860782
Tamil_Nadu,Viluppuram,3978908,256.7959184,41.42857143,0.109962076,0.001700859,0.200392117,0.3,1.822374801
Karnataka,Vijayapura,2575205,78.10204082,15.14285714,0.162588334,0.002559054,0.193097141,0.495,1.187644498
Tamil_Nadu,Vellore,4401028,601.3265306,114.8571429,0.054959542,0.000321682,0.204164803,0.435,3.714819923
Uttar_Pradesh,Varanasi,4239659,131.3061224,17.85714286,0.065757866,0.003247302,0.12591312,0.165,1.914799357
Bihar,Vaishali,4381971,33.24489796,7,0.090172795,0.000892418,0.164166279,0.495,1.820574367
Gujarat,Vadodara,4701190,615.4081633,48.42857143,0.071731178,0.000623484,0.086824738,0.495,1.210418401
Karnataka,Uttara_Kannada,1516739,49.12244898,17.14285714,0.085540984,0.001459267,0.187972835,0.495,2.19745935
Karnataka,Udupi,1239220,115.1020408,18,0.07099747,0.000194597,0.107371764,0.495,1.512332254
Uttarakhand,Udham_Singh_Nagar,2137842,85.08163265,8.142857143,0.081070982,0.00049806,0.14636943,0.495,1.805447844
Karnataka,Tumakuru,2766758,22.48979592,8,0.049117959,0.004894509,0.213470681,0.145,4.346082033
Tamil_Nadu,Tiruvannamalai,2746014,855.9387755,69.57142857,0.061633925,0.000795882,0.140514559,0.08,2.279824932
Tamil_Nadu,Tirunelveli,3457579,217.3877551,21.42857143,0.071997511,0.000791332,0.079013094,0.495,1.097442023
Tamil_Nadu,Tiruchirappalli,3028346,233.6326531,38.14285714,0.100449084,0.00113492,0.183731891,0.495,1.829104703
Assam,Tinsukia,1511412,103.6530612,1.428571429,0.063282432,0.000667502,0.069670545,0.495,1.100946078
Tamil_Nadu,Thoothukkudi,1905099,262.3673469,32.28571429,0.100495819,0.000523427,0.118341031,0.32,1.177571689
Tamil_Nadu,Thiruvallur,1356153,1284.510204,153,0.08885,0.002653313,0.125859959,0.11,1.416544278
Kerala,Thiruva0thapuram,3362979,68.30612245,5,0.066951586,0.002232084,0.131505216,0.365,1.96418373
Tamil_Nadu,Theni,1400617,277.9591837,53,0.04936834,0.000891977,0.256515382,0.495,5.195949111
Tamil_Nadu,Thanjavur,2590519,198.4285714,17.14285714,0.070637358,0.000474384,0.13155924,0.105,1.862459817
Maharashtra,Thane,14587316,16649,1633.714286,0.042882924,0.001714774,0.083744877,0.36,1.952872342
Gujarat,Surat,8350343,1101.061224,188.2857143,0.097562227,0.002475837,0.161578861,0.135,1.656162091
Odisha,Sundargarh,2362022,33.02040816,5.142857143,0.129312943,0.001491871,0.192362871,0.13,1.48757631
Andhra_Pradesh,Srikakulam,2861294,28.10204082,0.428571429,0.047130824,0.004629346,-0.030143334,0.445,-0.639567295
West_Bengal,South_24_Parganas,9485640,420.4285714,50.71428571,0.056725584,0.0018388,0.1073806,0.42,1.892983614
Haryana,Sonipat,1623165,416.5510204,36.28571429,0.085769356,0.001590593,0.109898924,0.21,1.281330883
Maharashtra,Solapur,4787647,922.3673469,40.57142857,0.051319077,0.008629144,0.038756639,0.09,0.755209199
Bihar,Siwan,4003684,143.0204082,6.857142857,0.084099586,0.000585004,-0.011321706,0.495,-0.134622607
Tamil_Nadu,Sivaganga,1529329,72.36734694,22.57142857,0.087520114,0.003816298,0.233482591,0.085,2.667759231
Karnataka,Shivamogga,1858248,32.89795918,8.142857143,0.054436075,0.00251302,0.148931853,0.41,2.735903617
Uttar_Pradesh,Shahjahanpur,3595030,47.71428571,4.285714286,0.072770052,0.00135782,0.071674216,0.475,0.98494111
Maharashtra,Satara,3190531,211.5306122,34.42857143,0.063417767,0.003808794,0.107875732,0.105,1.701033265
Bihar,Saran,4713945,34.95918367,3.714285714,0.088492124,0.001965398,0.050922003,0.25,0.575441079
Maharashtra,Sangli,3055687,124.6530612,13.28571429,0.068825165,0.002999403,0.102749724,0.08,1.492909235
Bihar,Samastipur,5229372,133.4897959,10,0.097804268,0.000792871,0.085567454,0.495,0.874884665
Tamil_Nadu,Salem,3962368,283.877551,77.42857143,0.04931291,0.000637442,0.211314672,0.46,4.285179543
Bihar,Saharsa,2340509,51.95918367,4.285714286,0.105372015,7.06E-05,0.02505453,0.495,0.237772139
Uttar_Pradesh,Saharanpur,4074084,77.75510204,7.142857143,0.068740039,2.86E-05,0.038998254,0.435,0.567329525
Andhra_Pradesh,S.P.S._Nellore,3256832,221.0816327,21.14285714,0.052622736,0.000289671,0.072382666,0.185,1.375501766
Bihar,Rohtas,3490729,30.18367347,4.285714286,0.113389638,0.000996743,-0.007291657,0.26,-0.064306201
Haryana,Rewari,1042054,144.7346939,11.14285714,0.041693413,0.000723063,0.07751382,0.495,1.859138256
Maharashtra,Ratnagiri,1544901,126.1836735,13.85714286,0.069559476,0.003559608,0.065158559,0.08,0.936731594
Jharkhand,Ranchi,3536714,49.34693878,3.142857143,0.034860238,0.001672723,0.023471048,0.495,0.673289955
Uttar_Pradesh,Rampur,2781652,75.91836735,6.714285714,0.079682922,0.001120282,0.070379216,0.495,0.883240904
Tamil_Nadu,Ramanathapuram,1522413,337.0408163,87.71428571,0.057793437,0.002937741,0.181996403,0.305,3.149084293
Karnataka,Ramanagara,1131764,104.8979592,8.857142857,0.075259732,0.000732333,0.163952321,0.095,2.178486644
Gujarat,Rajkot,4483728,103.4081633,11.85714286,0.054929439,0.002691776,0.129869587,0.35,2.364298452
Chhattisgarh,Raipur,5313458,99.42857143,17,0.085036116,0.000878861,0.099399575,0.47,1.168910101
Maharashtra,Raigad,3087777,1254.183673,239.1428571,0.071565823,0.001060077,0.151066145,0.355,2.110869949
Karnataka,Raichur,2196148,110.8367347,8.142857143,0.073390918,0.000327024,-0.013866742,0.285,-0.188943564
Bihar,Purnia,4086253,45.3877551,4.428571429,0.169420981,0.000248564,0.094297175,0.375,0.556584992
Odisha,Puri,1896950,58.28571429,6.285714286,0.093253037,0.000723013,-0.003001254,0.495,-0.032183976
West_Bengal,Purba_Medinipur,5795189,91.7755102,9,0.107103697,0.00128289,0.095439164,0.46,0.891091216
Maharashtra,Pune,11971755,8013.061224,838.8571429,0.056390945,0.002241529,0.108492014,0.105,1.923926148
Tamil_Nadu,Pudukkottai,1775923,72.3877551,14.71428571,0.07609682,0.00306609,0.184307578,0.27,2.422014191
Puducherry,Puducherry,1196990,284.3877551,34.85714286,0.080263298,0.001076376,0.166033321,0.09,2.068608248
Uttar_Pradesh,Prayagraj,7047792,63.3877551,11.71428571,0.095606692,0.005394028,0.148056419,0.44,1.548598904
Andhra_Pradesh,Prakasam,3733488,110.1428571,28.28571429,0.173429108,0.00096063,0.26596677,0.26,1.533576301
Bihar,Patna,7071903,236.9183673,36.71428571,0.065217908,0.002762518,0.128244109,0.495,1.966394088
Punjab,Patiala,2227327,110.6530612,13.85714286,0.071737422,0.002491243,0.151895693,0.255,2.117384322
Kerala,Pathanamthitta,1165397,163.0408163,6.571428571,0.047989582,9.15E-05,0.085847241,0.08,1.788872464
Haryana,Panipat,1469296,44.06122449,9,0.083667714,0.001692089,0.159197938,0.385,1.902740381
Rajasthan,Pali,2255261,177.1020408,18,0.112499979,0.001345123,0.092995957,0.495,0.826630882
Kerala,Palakkad,2995210,220.1020408,17.42857143,0.046196041,9.25E-05,0.117647422,0.09,2.546699247
Others2,Others2,0,0,0,0,0,0,0,0
Others,Others,0,0,0,0,0,0,0,0
Maharashtra,Osmanabad,1828220,39.65306122,5.285714286,0.105054999,0.008099943,0.090742557,0.21,0.863762387
West_Bengal,North_24_Parganas,11087990,840.1632653,124.8571429,0.078018153,0.002911517,0.115281304,0.495,1.477621543
Odisha,Nayagarh,1060750,20.48979592,3.714285714,0.097228046,0.000959098,0.163726978,0.085,1.683948046
Maharashtra,Nashik,7319991,1345,181.7142857,0.071763091,0.003311122,0.145482639,0.335,2.027262721
Bihar,Nalanda,3426197,39.3877551,7,0.092762154,0.001377924,0.179929401,0.11,1.939685445
Maharashtra,Nagpur,5252740,409.3469388,20,0.073900886,0.000732503,0.052648847,0.19,0.712425112
Assam,Nagaon,3377084,300.2857143,0.428571429,0.062374154,0.000160626,0.066121755,0.495,1.060082598
West_Bengal,Nadia,5732669,99.2244898,6.428571429,0.101908556,0.001522294,0.062701034,0.475,0.615267614
Bihar,Muzaffarpur,6001439,73.89795918,10.71428571,0.135613488,0.001349497,0.200991768,0.495,1.482092756
West_Bengal,Murshidabad,8438930,44.91836735,5,0.115286817,0.001849315,0.166287512,0.1,1.442380977
Maharashtra,Mumbai,12875246,28606.4898,1373.857143,0.041631678,0.003566688,0.047427063,0.495,1.139206113
