State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Yavatmal,3089185,118.0408163,15.28571429,0.068989493,0.003757326,0.113635964,0.495,1.647148859
Karnataka,Yadgir,1412778,276.5306122,70.28571429,0.091184428,3.01E-05,0.252903206,0.49,2.773535047
Andhra_Pradesh,Y.S.R._Kadapa,3160870,893.0204082,95.14285714,0.078679703,0.0014626,0.08834743,0.325,1.122874475
Tripura,West_Tripura,1919859,119.2244898,22.42857143,0.066358532,0.001512024,0.137910101,0.495,2.078257274
Andhra_Pradesh,West_Godavari,4061068,898.6122449,149.2857143,0.040898795,0.001998594,0.069399687,0.495,1.696863831
Bihar,West_Champaran,4958749,123.4489796,44.14285714,0.064236101,0.000661011,0.162801162,0.495,2.534418502
Andhra_Pradesh,Vizianagaram,2433613,328.7142857,92.71428571,0.05048105,0.002488176,0.179347025,0.465,3.552759409
Andhra_Pradesh,Visakhapatnam,4749686,545.4081633,71.71428571,0.100313718,0.00508699,0.127405046,0.495,1.270066029
Tamil_Nadu,Virudhunagar,2131921,949.244898,164.8571429,0.050929103,0.001476535,0.153681709,0.355,3.017561696
Tamil_Nadu,Viluppuram,3978908,554.7346939,79.42857143,0.109962076,0.001597409,0.133488795,0.3,1.213953018
Karnataka,Vijayapura,2575205,213.244898,71.28571429,0.162588334,0.002559054,0.251526276,0.495,1.547013053
Tamil_Nadu,Vellore,4401028,1529.428571,157.2857143,0.062516118,0.001205536,0.098816298,0.435,1.580653136
Uttar_Pradesh,Varanasi,4239659,334.3673469,52.14285714,0.062020131,0.003258585,0.147742779,0.165,2.382174566
Bihar,Vaishali,4381971,115.6938776,17.85714286,0.090172795,0.000892418,0.152420349,0.495,1.690314129
Gujarat,Vadodara,4701190,785.8163265,73.85714286,0.074349052,0.000623484,0.073753038,0.495,0.991983581
Karnataka,Uttara_Kannada,1516739,332.8571429,44.71428571,0.085540984,0.001459267,0.178356966,0.495,2.085046928
Karnataka,Udupi,1239220,288.755102,65.42857143,0.07099747,0.000415764,0.152530869,0.495,2.148398662
Uttarakhand,Udham_Singh_Nagar,2137842,168.9183673,37.71428571,0.081070982,0.00049806,0.16294258,0.495,2.009875493
Karnataka,Tumakuru,2766758,262.755102,35,0.049117959,0.004894509,0.137175221,0.145,2.79277118
Tamil_Nadu,Tiruvannamalai,2746014,1270.510204,115,0.057700758,0.000812312,0.072687733,0.08,1.259736181
Tamil_Nadu,Tirunelveli,3457579,751.1428571,117,0.071997511,0.000791332,0.180301552,0.495,2.504274783
Tamil_Nadu,Tiruchirappalli,3028346,562.3673469,104.5714286,0.100449084,0.003559293,0.156271228,0.495,1.555725773
Assam,Tinsukia,1511412,122.8367347,25.28571429,0.063282432,0.000667502,0.118864463,0.495,1.878316927
Tamil_Nadu,Thoothukkudi,1905099,927.5510204,169.4285714,0.047002858,0.002043354,0.200626953,0.32,4.268398985
Tamil_Nadu,Thiruvallur,1356153,2270.591837,318.5714286,0.087306319,0.001823163,0.126719699,0.11,1.451437884
Kerala,Thiruva0thapuram,3362979,423.6938776,142.5714286,0.021218222,0.000205102,0.216942568,0.365,10.22435176
Tamil_Nadu,Theni,1400617,977.1020408,95.14285714,0.084088991,0.001706874,0.142135798,0.495,1.690302107
Tamil_Nadu,Thanjavur,2590519,227.4693878,37,0.070637358,0.005309295,0.170579509,0.105,2.414862544
Maharashtra,Thane,14587316,31579.77551,2094.285714,0.042882924,0.001861232,0.061569242,0.36,1.435751949
Gujarat,Surat,8350343,2542.693878,267,0.072137403,0.002475837,0.109741593,0.135,1.521285607
Odisha,Sundargarh,2362022,320.244898,28,0.10626637,0.001491871,0.170900271,0.13,1.608225364
Andhra_Pradesh,Srikakulam,2861294,529.4489796,162.4285714,0.150811847,0.001804358,0.326736568,0.445,2.166517918
West_Bengal,South_24_Parganas,9485640,879.4081633,138.8571429,0.108236511,0.0018388,0.158891528,0.42,1.468003045
Haryana,Sonipat,1623165,592.6734694,71.57142857,0.085769356,0.001393729,0.109898924,0.21,1.281330883
Maharashtra,Solapur,4787647,1438.306122,194.8571429,0.051319077,0.003187677,0.111095343,0.09,2.164796185
Bihar,Siwan,4003684,151.9387755,53.14285714,0.084099586,0.000585004,0.221250534,0.495,2.630815964
Tamil_Nadu,Sivaganga,1529329,318.7755102,73.28571429,0.094052964,0.003816298,0.162094576,0.085,1.723439311
Karnataka,Shivamogga,1858248,224.2040816,33.28571429,0.054436075,0.00251302,0.124852383,0.41,2.29355962
Uttar_Pradesh,Shahjahanpur,3595030,48.10204082,13.85714286,0.072770052,0.00135782,0.178482063,0.475,2.452685658
Maharashtra,Satara,3190531,613.0816327,79.71428571,0.063417767,0.003808794,0.104857435,0.105,1.653439395
Bihar,Saran,4713945,91.75510204,23.28571429,0.167181762,0.001965398,0.22280643,0.25,1.332719715
Maharashtra,Sangli,3055687,230.5714286,31.71428571,0.068825165,0.002999403,0.102749724,0.08,1.492909235
Bihar,Samastipur,5229372,78.26530612,23.28571429,0.097804268,0.000792871,0.193944196,0.495,1.982982948
Tamil_Nadu,Salem,3962368,937.1020408,88.71428571,0.081419272,0.000637442,0.098666215,0.46,1.211828758
Bihar,Saharsa,2340509,71.26530612,9.428571429,0.105372015,7.06E-05,0.010157491,0.495,0.096396475
Uttar_Pradesh,Saharanpur,4074084,128.9183673,11.57142857,0.068740039,0.002108902,0.129472001,0.435,1.883502014
Andhra_Pradesh,S.P.S._Nellore,3256832,489.0816327,98,0.052622736,0.00261821,0.145805387,0.185,2.770767889
Bihar,Rohtas,3490729,69.87755102,22.85714286,0.113389638,0.000996743,0.252123811,0.26,2.223517203
Haryana,Rewari,1042054,289.9183673,48.85714286,0.120797397,0.000723063,0.15473275,0.495,1.280927853
Maharashtra,Ratnagiri,1544901,251.8571429,25.71428571,0.069559476,0.003559608,0.102511422,0.08,1.473723316
Jharkhand,Ranchi,3536714,175.4285714,40.85714286,0.034860238,0.001672723,0.154803954,0.495,4.440702682
Uttar_Pradesh,Rampur,2781652,65.6122449,10.14285714,0.079682922,0.001120282,0.128735844,0.495,1.61560145
Tamil_Nadu,Ramanathapuram,1522413,967.3469388,80.14285714,0.055394812,0.001643569,0.060698969,0.305,1.095751863
