State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Yavatmal,3089185,836.2040816,94,0.035223825,0.001527815,0.07471565,0.495,2.121168022
Karnataka,Yadgir,1412778,1518.938776,99.85714286,0.090371928,0.000935041,0.104921605,0.49,1.160997754
Andhra_Pradesh,Y.S.R._Kadapa,3160870,5522.408163,708.1428571,0.084377975,0.001520678,0.118067435,0.325,1.399268413
Tripura,West_Tripura,1919859,1253.326531,162.5714286,0.053652234,0.001512024,0.10545949,0.495,1.96561227
Andhra_Pradesh,West_Godavari,4061068,5228.081633,968.5714286,0.190453223,0.001392881,0.179950796,0.495,0.944855608
Bihar,West_Champaran,4958749,531.4081633,52.42857143,0.106782972,0.000661011,0.072547098,0.495,0.679388267
Andhra_Pradesh,Vizianagaram,2433613,7252.816327,594.1428571,0.063320049,0.000434677,0.072163675,0.465,1.139665504
Andhra_Pradesh,Visakhapatnam,4749686,6438.081633,854.1428571,0.112248798,0.000818749,0.125256175,0.495,1.11587988
Tamil_Nadu,Virudhunagar,2131921,508.2040816,108.5714286,0.184400224,0.002886744,0.144639934,0.355,0.784380467
Tamil_Nadu,Viluppuram,3978908,867.8367347,173.7142857,0.161574618,0.000940884,0.215459933,0.3,1.333501107
Karnataka,Vijayapura,2575205,829.1836735,123.8571429,0.161923081,0.00433904,0.159842633,0.495,0.98715163
Tamil_Nadu,Vellore,4401028,1186.897959,152.8571429,0.142735046,0.00286141,0.14428258,0.435,1.010842002
Uttar_Pradesh,Varanasi,4239659,1776.877551,174.1428571,0.094372112,0.001521186,0.092733924,0.165,0.982641184
Bihar,Vaishali,4381971,348.7755102,35.71428571,0.113812428,0.000892418,0.059200937,0.495,0.520162327
Gujarat,Vadodara,4701190,1620.040816,125.8571429,0.065003156,0.000882337,0.094133861,0.495,1.448142942
Karnataka,Uttara_Kannada,1516739,1014.653061,130,0.092789471,0.001550382,0.128689132,0.495,1.386893695
Karnataka,Udupi,1239220,2771.979592,194.5714286,0.079648369,0.000374231,0.071199225,0.495,0.893919432
Uttarakhand,Udham_Singh_Nagar,2137842,1204.857143,97.42857143,0.06162925,0.000994221,0.103274713,0.495,1.67574185
Karnataka,Tumakuru,2766758,1341.285714,208,0.084325645,0.002675211,0.114062996,0.145,1.352648958
